ID,comid,main,hydroseq,outlet_comid,gages
4625,1702688,6341,150031220,1702688,
4224,1702684,5831,150031221,1702642,
4615,1702634,6330,150031222,1702634,
4397,1702542,6044,150031225,1702542,
3909,1702530,5295,150031227,1702552,
4617,1702528,6331,150031228,1702528,
4054,1702526,5566,150031229,1702526,
4392,1702500,6040,150031230,1702512,
4634,1702492,6353,150031231,1702492,
4629,1702416,6345,150031233,1702416,
3985,1702384,5460,150031235,1701692,
4067,1702372,5583,150031236,1702372,
4064,1702310,5573,150031238,1701912,
4387,1702296,6035,150031239,24894830,
4218,1702282,5817,150031240,1701760,
3567,1701980,4802,150031247,1702758,
4143,1701854,5693,150031251,1702298,
4060,1701752,5572,150031253,1702518,
4604,1701728,6314,150031255,1701728,
4058,1701716,5571,150031256,24894808,
4389,1701666,6036,150031258,1702558,
4383,1701662,6031,150031259,1702780,
4410,1701632,6062,150031260,1702700,
4238,1701482,5846,150031262,1701508,
4403,1700786,6052,150031264,1700692,
4147,1700684,5699,150031266,1700678,
4640,1700666,6362,150031267,1700666,
4601,1700650,6311,150031268,1700650,
4638,1700538,6358,150031269,1700538,
4636,1700486,6356,150031270,1700486,
4635,1700430,6354,150031274,1700430,
3885,1700214,5264,150031277,1700646,
4404,1700166,6053,150031279,1700654,
3981,1700078,5458,150031281,1700078,
3669,1699982,4981,150031283,1700452,
4603,1699852,6313,150031290,1699852,
3942,1699812,5365,150031292,1699844,
4648,1699098,6372,150031297,1699098,
4622,1699062,6333,150031298,1699062,
4371,1698846,6019,150031299,1698848,
4049,1698816,5562,150031302,1698816,
4237,1698814,5845,150031303,1698798,
4609,1698766,6321,150031304,1698766,
3030,1698700,4158,150031309,1698700,
4233,1698648,5844,150031310,1702398,
3905,1698646,5287,150031311,1698646,
3620,1698634,4913,150031312,1702340,
4526,3921,6230,150031678,3921,
4563,3915,6261,150031679,3915,
3884,931020015,5264,150031743,931020015,
4660,1743124,6398,150036549,1743124,
4691,1743112,6431,150036550,1743112,
4737,1743106,6492,150036551,1743106,
4728,1743096,6483,150036552,1743096,
4415,1743010,6068,150036555,1734274,
4658,1737252,6392,150036576,1737252,
4275,1737166,5894,150036577,1737164,
5188,1737046,7140,150036585,1737046,
4655,1737016,6387,150036587,1737016,
3516,1737008,4764,150036588,1737008,
4070,1736980,5587,150036591,1735996,
4727,1736958,6481,150036594,1736958,
4079,1736900,5605,150036598,1743084,
4657,1736852,6391,150036601,1736852,
3572,1736700,4805,150036605,1736726,
4736,1736668,6491,150036607,1736668,
4003,1736632,5497,150036608,1735898,
4279,1736574,5896,150036609,1736574,
4469,1736236,6132,150036619,1736200,
4084,1736062,5609,150036624,1736990,
4418,1735914,6073,150036627,1736878,
3650,1735866,4957,150036628,1736838,
4265,1735848,5882,150036629,1736870,
4242,1735802,5850,150036630,1736832,
4419,1735800,6077,150036631,1735798,
4723,1735780,6475,150036632,1735780,
3531,1735762,4778,150036633,1735762,
3995,1735678,5479,150036635,1736724,
4659,1734240,6397,150036655,1734240,
4706,1734234,6449,150036656,1734234,
4705,1734196,6448,150036657,1734196,
4667,1734118,6404,150036663,1734118,
4741,1734054,6495,150036666,1734054,
4703,1734002,6446,150036671,1734002,
4156,1733854,5714,150036681,1732134,
3799,1733828,5169,150036683,1733800,
4692,1733802,6432,150036686,1733802,
3919,1733710,5312,150036690,1732060,
4244,1733650,5854,150036694,1735570,
4253,1733428,5864,150036699,1734044,
4701,1733344,6444,150036702,1733344,
4422,1732730,6080,150036715,1732654,
4448,1732480,6107,150036722,1734086,
4444,1732202,6106,150036731,1733902,
4412,1732166,6066,150036733,1733862,
4436,1732114,6094,150036735,1732114,
4438,1732090,6095,150036736,1733734,
4256,1732026,5867,150036738,1733684,
4158,1731294,5718,150036745,1731096,
4164,1731134,5720,150036748,1731404,
4441,1731130,6099,150036749,1731392,
3656,1731082,4961,150036750,1731098,
4927,1715120,6771,150036936,1715120,
4926,1713464,6770,150036940,1713464,
4570,1713450,6268,150036941,1713452,
4891,1713446,6720,150036942,1713446,
4357,1713186,6000,150036947,1713458,
4634,1705892,6353,150037020,1702492,
4956,1703622,6828,150037025,1703622,
4955,1703616,6827,150037026,1703616,
4953,1703606,6826,150037028,1703606,
3944,1703582,5372,150037031,1703584,
4383,1703358,6031,150037037,1702780,
5001,1703322,6897,150037038,1703322,
4958,1702800,6833,150037049,1702800,
4951,1702782,6821,150037050,1702782,
4400,1702768,6048,150037051,1700576,
4964,1702724,6845,150037053,1702724,
4143,1702666,5693,150037057,1702298,
4949,1702598,6819,150037061,1702598,
4389,1702574,6036,150037065,1702558,
4636,1702572,6356,150037066,1700486,
4060,1702548,5572,150037069,1702518,
4938,1702464,6796,150037072,1702464,
4968,1702460,6851,150037073,1702460,
4606,1702454,6317,150037074,1705890,
4937,1702450,6795,150037075,1702450,
4936,1702446,6794,150037076,1702446,
4960,1702432,6837,150037078,1702432,
4218,1702420,5817,150037079,1701760,
4604,1702410,6314,150037081,1701728,
4628,1702406,6345,150037082,1702406,
3985,1702382,5460,150037085,1701692,
4067,1702370,5583,150037086,1702372,
4942,1702360,6803,150037087,1702360,
4064,1702320,5573,150037089,1701912,
4615,1702268,6330,150037090,1702634,
4224,1701830,5831,150037101,1702642,
3909,1701820,5295,150037102,1702552,
4625,1701800,6341,150037104,1702688,
4397,1701790,6044,150037105,1702542,
4058,1701702,5571,150037109,24894808,
4391,1701688,6040,150037110,1701688,
4619,1701620,6332,150037112,1702732,
4410,1701586,6062,150037114,1702700,
4238,1701490,5846,150037115,1701508,
4617,1701484,6331,150037116,1702528,
4054,1701474,5566,150037117,1702526,
4983,1700802,6875,150037120,1700802,
3669,1700792,4981,150037121,1700452,
4147,1700694,5699,150037122,1700678,
4985,1700686,6876,150037123,1700686,
4982,1700680,6873,150037124,1700680,
4404,1700648,6053,150037125,1700654,
4933,1700620,6790,150037126,1700620,
4997,1700612,6893,150037127,1700612,
4638,1700540,6358,150037130,1700538,
4969,1700472,6852,150037133,1700472,
4635,1700432,6354,150037136,1700430,
4929,1700406,6782,150037138,1700406,
4603,1700386,6313,150037140,1699852,
4995,1700216,6891,150037146,1700216,
4640,1700188,6362,150037147,1700666,
4601,1700142,6311,150037149,1700650,
4932,1700062,6788,150037150,1700062,
3942,1699784,5365,150037160,1699844,
4935,1699782,6792,150037161,1699782,
4621,1699056,6333,150037165,1699056,
4648,1699038,6372,150037166,1699098,
3904,1698924,5287,150037167,1698924,
